,label,0.0,3.0,6.0,9.0,12.0,15.0,18.0
0.0,meanRate,2.34741996971,2.98225379614,1.53963749664,2.67214874624,3.1006026685,3.56691518271,4.42477876106
0.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
0.0,stdRate,1.95888522703,3.95558813506,2.93878428386,3.62472240948,4.19493571935,4.03781636739,
1.0,meanRate,0.249207741395,0.693861099324,2.07364663056,3.43951435228,1.38761508928,2.76156862833,0.0
1.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
1.0,stdRate,0.695631580946,1.71099392822,2.49550275918,4.00619388634,2.99224494789,4.31400709742,
2.0,meanRate,0.0616312460782,0.26916858938,0.151956164886,0.30940530599,3.92090679298,1.37852435286,0.0
2.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
2.0,stdRate,0.176129107348,0.78977580113,0.404988857766,0.639710111766,5.40406910704,4.47667503637,
3.0,meanRate,0.930996897647,1.47199790549,1.28671321527,1.24301719017,0.502178379022,0.14487451165,0.0
3.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
3.0,stdRate,1.73412016055,2.63684571283,2.54094149575,2.29672401325,1.60492777274,0.577090653825,
4.0,meanRate,0.372155152696,0.773876731525,2.77661805556,8.04888121353,16.2351630042,11.1236056444,4.42477876106
4.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
4.0,stdRate,0.517361208386,1.15054040915,3.35933862461,6.61187357309,12.1620134614,8.68000862848,
5.0,meanRate,3.63878716805,4.78506907912,3.95180451344,3.03721267413,2.01184027286,1.69173335284,0.0
5.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
5.0,stdRate,4.0202441299,3.58666221003,3.5680030969,3.73196697514,3.20582885558,2.98539587668,
6.0,meanRate,4.10942132835,4.82291301657,5.79515768134,9.56940742003,14.0122650496,11.9771665344,61.9469026549
6.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
6.0,stdRate,4.71160511607,5.83999601355,6.05524656965,7.96101797365,12.3664576879,9.5071169007,
7.0,meanRate,11.0352246953,11.915892294,14.7834182361,18.4251147944,30.4774532197,48.6488036341,48.6725663717
7.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
7.0,stdRate,14.9453956698,12.5377672274,18.8451119585,17.7005777367,19.6516393692,19.3937389832,
8.0,meanRate,14.6886903605,25.8245136832,48.8814174938,61.8461181054,72.5265632399,36.6513868938,26.5486725664
8.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
8.0,stdRate,13.1689676739,17.5609764799,22.5172292553,21.3398661415,27.0880482266,19.7094974933,
9.0,meanRate,11.3916324183,14.5825352444,17.8358894841,18.317977387,13.7832759825,13.3243312396,13.2743362832
9.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
9.0,stdRate,4.3510179349,4.48477093751,5.95097694971,7.00274143002,7.01323096528,7.20059042368,
10.0,meanRate,9.95169735485,8.03228838284,5.81939449863,4.56509528176,2.80690562529,3.24974628587,0.0
10.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
10.0,stdRate,3.00286373491,3.27471623889,3.38401855895,3.59322355687,3.34655230319,3.28394755709,
11.0,meanRate,3.98991792746,4.84179593292,3.97522163901,2.53316307896,0.550756582126,0.400621777821,0.0
11.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
11.0,stdRate,4.08363453658,5.21765474187,5.61380551198,4.33049239062,1.6234563743,0.904749105557,
12.0,meanRate,3.31084800236,6.81138956335,7.8696002615,5.53418533499,2.02884335185,0.12065116998,0.0
12.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
12.0,stdRate,6.14355743449,8.94949667046,12.4614738416,7.93084939903,4.22383923875,0.494082407418,
13.0,meanRate,0.819098084263,0.722966062573,2.10677863261,3.30881689744,4.17115638543,7.85911278372,8.84955752212
13.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
13.0,stdRate,0.980522332297,1.61153293028,3.6036538122,5.894511497,6.26155222073,9.87839597895,
14.0,meanRate,0.678653379976,0.543158020327,1.07948694353,0.743491095018,0.672807995462,1.75983877815,0.0
14.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
14.0,stdRate,1.04650803629,1.57151903941,3.55428563116,3.48199128267,3.84543272743,3.146488716,
15.0,meanRate,0.186120927401,0.0767397152142,0.714993068198,0.748576936192,0.901236885063,1.53630127117,4.42477876106
15.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
15.0,stdRate,0.430535330436,0.263067297386,2.47335913736,1.82297559455,3.09511538614,3.23297100139,
16.0,meanRate,0.239194009839,0.273724599652,0.594032855535,0.379872190229,0.507430905216,2.45753751103,0.0
16.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
16.0,stdRate,0.423351958629,0.742179188677,1.25129503854,1.25381870373,1.3630480451,4.05812878352,
17.0,meanRate,7.89849178995,6.84304368138,3.75707982456,4.58175228008,7.25989360834,8.08300008838,8.84955752212
17.0,numTrials,31.0,34.0,36.0,36.0,36.0,36.0,1.0
17.0,stdRate,4.55788285766,4.99466218296,3.69517164023,5.27490557585,6.66605814221,6.0875365108,
18.0,meanRate,2.18423032637,3.27604627825,3.3340641765,3.81112945268,5.76798622065,4.23240761506,4.42477876106
