,label,6.0,9.0,12.0,15.0,18.0
0.0,meanRate,0.0,1.13415118501,1.80884865311,1.67268176377,6.72497265651
0.0,numTrials,2.0,163.0,205.0,205.0,21.0
0.0,stdRate,0.0,3.21764215082,2.86044140322,3.77600150629,20.8715533159
1.0,meanRate,0.0,0.0876088245905,0.130395978954,0.112473956367,0.0147290589604
1.0,numTrials,2.0,163.0,205.0,205.0,21.0
1.0,stdRate,0.0,0.46500015396,0.297770829826,0.511870028797,0.0674970276016
2.0,meanRate,0.0,1.25228789136,1.31504661607,1.07742660449,1.01905784287
2.0,numTrials,2.0,163.0,205.0,205.0,21.0
2.0,stdRate,0.0,2.22081098099,0.754864230354,2.22382544853,1.71323733913
3.0,meanRate,0.0,0.256753913801,0.271154033619,0.319213143582,0.506666782658
3.0,numTrials,2.0,163.0,205.0,205.0,21.0
3.0,stdRate,0.0,1.07374477812,0.377843067312,1.38021916471,2.09370512801
4.0,meanRate,25.4015363128,36.3958635129,20.7799520258,5.85012802561,9.1620460703
4.0,numTrials,2.0,163.0,205.0,205.0,21.0
4.0,stdRate,8.27097666542,15.2098270191,7.06903063746,6.32848252025,8.36019502672
5.0,meanRate,0.0,5.31390047927,1.82184367462,0.00606903445087,0.0
5.0,numTrials,2.0,163.0,205.0,205.0,21.0
5.0,stdRate,0.0,5.61396896852,1.33665398749,0.0633505099998,0.0
6.0,meanRate,0.0,3.88038852832,2.67819872583,1.33592788484,3.94115279971
6.0,numTrials,2.0,163.0,205.0,205.0,21.0
6.0,stdRate,0.0,5.08663767973,2.07624547355,3.13948446526,12.2867014951
7.0,meanRate,0.0,0.321816845621,0.419309016529,0.404712215881,0.15873015873
7.0,numTrials,2.0,163.0,205.0,205.0,21.0
7.0,stdRate,0.0,2.64833886421,0.910376065223,1.67104337008,0.727392967453
8.0,meanRate,0.0,0.594530741725,0.459762636174,1.01601101443,0.38693612248
8.0,numTrials,2.0,163.0,205.0,205.0,21.0
8.0,stdRate,0.0,3.67177155373,0.814254197554,2.97357582823,0.974878836451
9.0,meanRate,0.0,0.844681223876,0.771153923859,0.253682978966,0.193748034972
9.0,numTrials,2.0,163.0,205.0,205.0,21.0
9.0,stdRate,0.0,2.00812467842,0.855614248354,1.07100715326,0.819769649194
10.0,meanRate,0.0,0.16911917802,0.199489175292,0.00715256419426,0.0
10.0,numTrials,2.0,163.0,205.0,205.0,21.0
10.0,stdRate,0.0,1.01586642368,0.733529386322,0.102409134277,0.0
11.0,meanRate,0.0,2.20132606313,2.47928744315,0.59866748514,0.605457226497
11.0,numTrials,2.0,163.0,205.0,205.0,21.0
11.0,stdRate,0.0,4.21797792041,1.62938091116,3.16095265265,1.64707792056
12.0,meanRate,1.39664804469,4.66546798945,0.697599698709,0.00294212833564,0.0
12.0,numTrials,2.0,163.0,205.0,205.0,21.0
12.0,stdRate,1.97515860667,8.82143945646,0.950661976199,0.0421248670549,0.0
13.0,meanRate,0.0,1.31257356478,0.658190976534,0.180775881274,0.0
13.0,numTrials,2.0,163.0,205.0,205.0,21.0
13.0,stdRate,0.0,4.46045790512,1.34695897745,1.03702356231,0.0
14.0,meanRate,2.79329608939,0.895775574846,0.358831846779,0.0356603021664,0.0340622658219
14.0,numTrials,2.0,163.0,205.0,205.0,21.0
14.0,stdRate,3.95031721333,2.13611425155,0.47728618797,0.206897683511,0.156092911471
15.0,meanRate,0.0,1.95951423853,1.71664697955,1.85422295563,1.20339456401
15.0,numTrials,2.0,163.0,205.0,205.0,21.0
15.0,stdRate,0.0,3.04346687434,1.43717365855,3.18424820246,3.06699983211
16.0,meanRate,7.8125,0.432424148451,0.371743650953,0.531224639245,0.301322150297
16.0,numTrials,2.0,163.0,205.0,205.0,21.0
16.0,stdRate,11.048543456,1.19171578005,0.694334029241,2.35391805034,0.881698331904
17.0,meanRate,2.79329608939,5.67887897322,1.74002280116,0.262613255627,1.02188904647
17.0,numTrials,2.0,163.0,205.0,205.0,21.0
17.0,stdRate,3.95031721333,6.95538557336,1.97965231732,1.31949279882,3.15841670095
18.0,meanRate,5.58659217877,0.944705474339,0.404030581097,0.216634183257,0.188593754941
18.0,numTrials,2.0,163.0,205.0,205.0,21.0
18.0,stdRate,7.90063442667,1.78721975154,0.625200192885,0.636278519462,0.764652890576
19.0,meanRate,2.79329608939,5.7871327196,10.073306529,15.4369561349,20.3445379104
19.0,numTrials,2.0,163.0,205.0,205.0,21.0
19.0,stdRate,3.95031721333,5.17975304421,3.25327274728,7.04555542511,8.35060906205
20.0,meanRate,13.3990921788,9.67689021605,9.41020228889,9.10885306798,9.85871550642
20.0,numTrials,2.0,163.0,205.0,205.0,21.0
20.0,stdRate,3.14790902937,20.0186360603,2.99468249899,7.01206751415,8.9047279663
21.0,meanRate,0.0,2.82255317789,1.59617962487,0.0260559369692,0.0
21.0,numTrials,2.0,163.0,205.0,205.0,21.0
21.0,stdRate,0.0,5.84835686645,1.35911812301,0.181230477138,0.0
22.0,meanRate,0.0,0.382390176619,0.508252152332,0.416672990358,0.0
22.0,numTrials,2.0,163.0,205.0,205.0,21.0
22.0,stdRate,0.0,1.20486500523,2.43430694859,2.34716768154,0.0
23.0,meanRate,0.0,2.35041813,1.41504649382,0.412946207029,0.41831522749
23.0,numTrials,2.0,163.0,205.0,205.0,21.0
23.0,stdRate,0.0,4.12488412311,2.04250409669,2.37895077793,1.14441516088
24.0,meanRate,1.39664804469,1.48105772096,1.30595308262,0.0409118179598,0.00736452948021
24.0,numTrials,2.0,163.0,205.0,205.0,21.0
24.0,stdRate,1.97515860667,3.53626860699,1.7348055081,0.246291846549,0.0337485138008
25.0,meanRate,0.0,6.46494743665,4.92848651951,0.945399335971,0.0
25.0,numTrials,2.0,163.0,205.0,205.0,21.0
25.0,stdRate,0.0,7.46930274987,2.55927252665,3.47090050871,0.0
26.0,meanRate,9.20914804469,0.866441995034,0.375000602919,0.00111243985872,0.0
26.0,numTrials,2.0,163.0,205.0,205.0,21.0
26.0,stdRate,9.07338484937,2.11633893836,0.482164698747,0.0159277148408,0.0
27.0,meanRate,1.39664804469,2.77872181159,5.54312581478,9.95189018164,11.0486989955
27.0,numTrials,2.0,163.0,205.0,205.0,21.0
27.0,stdRate,1.97515860667,3.31482387302,2.88799547576,6.81907296833,7.02441458419
28.0,meanRate,42.4231843575,23.6884386805,17.964505336,13.9006826693,9.3049404858
28.0,numTrials,2.0,163.0,205.0,205.0,21.0
28.0,stdRate,28.3929049708,10.721020274,4.51480648946,7.79017080794,6.98810039993
