,label,0.0,3.0,6.0,9.0,12.0,15.0
0.0,meanRate,1.31264916468,0.0,0.0,2.53807106599,3.73134328358,4.67289719626
0.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
0.0,stdRate,,,,,,
1.0,meanRate,6.80190930788,8.19672131148,25.2525252525,32.9949238579,52.2388059701,60.7476635514
1.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
1.0,stdRate,,,,,,
2.0,meanRate,11.5751789976,0.0,0.0,0.0,0.0,0.0
2.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
2.0,stdRate,,,,,,
3.0,meanRate,3.93794749403,3.58606557377,8.83838383838,0.0,11.1940298507,18.691588785
3.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
3.0,stdRate,,,,,,
4.0,meanRate,0.596658711217,5.63524590164,2.52525252525,7.61421319797,22.3880597015,23.3644859813
4.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
4.0,stdRate,,,,,,
5.0,meanRate,0.238663484487,0.0,1.26262626263,0.0,3.73134328358,9.34579439252
5.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
5.0,stdRate,,,,,,
6.0,meanRate,0.0,0.0,0.0,0.0,0.0,4.67289719626
6.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
6.0,stdRate,,,,,,
7.0,meanRate,0.119331742243,0.512295081967,1.26262626263,2.53807106599,0.0,0.0
7.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
7.0,stdRate,,,,,,
8.0,meanRate,0.715990453461,1.02459016393,1.26262626263,0.0,3.73134328358,0.0
8.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
8.0,stdRate,,,,,,
9.0,meanRate,0.35799522673,1.02459016393,0.0,2.53807106599,0.0,4.67289719626
9.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
9.0,stdRate,,,,,,
10.0,meanRate,7.04057279236,19.4672131148,17.6767676768,5.07614213198,14.9253731343,18.691588785
10.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
10.0,stdRate,,,,,,
11.0,meanRate,14.3198090692,37.9098360656,30.303030303,27.9187817259,33.5820895522,18.691588785
11.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
11.0,stdRate,,,,,,
12.0,meanRate,18.138424821,17.4180327869,27.7777777778,20.3045685279,37.3134328358,46.7289719626
12.0,numTrials,1.0,1.0,1.0,1.0,1.0,1.0
12.0,stdRate,,,,,,
