,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValClosed
0,12.2,132.0,Layer5a,0.0,640,127.42734375,9.70298899339,-47.1462160118,11.1747171004,788.276402401,RegularSpiker,0.0,0.0117056856187,0.155253082087,
1,13.9,98.0,Layer5a,1.0,11763,145.022995834,13.0366926549,-55.4586494913,-9.64524144157,161.153178938,FastSpiker,0.207003622563,0.00709030100334,1.138254986e-47,
2,14.9,78.0,Layer4,2.0,2177,121.071084061,13.6128447682,-61.1229512676,-8.71104571302,752.048168376,RegularSpiker,0.0,0.0191973244147,0.803961660944,
3,15.0,76.0,Layer4,3.0,3368,65.8474614014,8.21226975641,34.9467798148,14.7691489212,797.021148544,RegularSpiker,0.0,0.0110367892977,0.0611351012392,
4,5.3,270.0,Layer5b,4.0,1657,82.0132770066,9.14312651306,-31.2242332051,6.78526984122,557.165254312,RegularSpiker,0.641025641026,0.00421404682274,4.77901881778e-18,
5,4.7,282.0,Layer5b,5.0,529,67.6403591682,6.76241004681,-27.4087469397,3.01446356771,384.768830332,IntermediateSpiker,0.0,0.00809364548495,3.21753865012e-06,
6,8.0,216.0,Layer5a,6.0,281,62.2544483986,6.57467951387,-29.5861802202,12.6125374066,690.834945368,RegularSpiker,0.0,0.019397993311,0.0505424931679,
7,6.3,250.0,Layer5a,7.0,673,78.3209509658,6.85639719869,93.340566253,0.934273215311,675.843951979,RegularSpiker,1.57894736842,0.00267558528428,1.41132189375e-10,
8,14.5,86.0,Layer5a,8.0,968,59.8179235537,5.17002867539,-89.6067573093,-3.34016755118,675.843951979,RegularSpiker,0.480769230769,0.00267558528428,1.12420167216e-09,
9,6.0,256.0,Layer5b,9.0,507,70.7889546351,8.53742490008,-0.112011378996,0.700922965097,597.141236684,RegularSpiker,0.0,0.0129096989967,1.08104750975e-06,
10,13.1,114.0,Layer5a,10.0,13899,77.5030937478,9.36571463753,5.98353904356,-0.929782188902,648.360464098,RegularSpiker,0.269522144522,0.0189966555184,4.43995685056e-06,
11,19.5,-14.0,Layer4,11.0,14682,96.3448610544,9.18824830813,-69.039414065,5.49300510679,182.390419573,FastSpiker,2.8667907105,0.00354515050167,1.24513992613e-05,
12,9.2,192.0,Layer5a,12.0,22256,47.3741575306,5.62247278869,-0.0920068694359,-4.54894922104,650.858962996,RegularSpiker,3.1559882273,0.00220735785953,3.06936451894e-11,
13,21.9,-62.0,Layer4,13.0,4751,66.2318459272,7.3321658278,-35.6675160423,4.68066982829,233.609646987,FastSpiker,0.676117775354,0.0115050167224,1.77312760726e-31,
