,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal,pValIpsi,pValClosed
0,1.5,340.0,Layer5b,0.0,975,85.6317948718,9.86863342997,-41.9052585832,-4.89708268198,647.111214649,RegularSpiker,1.28,0.00254180602007,0.763085992842,0.0146333554907,0.31762155018
1,0.8,354.0,Layer5b,1.0,8447,90.7023203504,8.74881808127,-30.4086999095,-16.5956996075,630.87097181,RegularSpiker,2.36671332231,0.0028762541806,5.01634980666e-81,0.739543149018,6.00770401311e-257
2,1.0,350.0,Layer5b,2.0,2315,69.2749460043,5.93482796928,8.95431416334,-6.35610739706,668.348455284,RegularSpiker,0.821467688938,0.00260869565217,0.000319164240494,0.476970491444,5.71885499933e-31
3,2.9,312.0,Layer5b,3.0,7963,68.495667462,11.8206147461,-21.2028300381,-3.04643252722,555.916004862,RegularSpiker,0.0412938747419,0.00976588628763,0.00734652254014,0.16494105289,4.65013168968e-10
4,3.5,300.0,Layer5a,4.0,6256,50.9689897698,8.55177394224,0.43219526204,1.02614382116,608.384481726,RegularSpiker,0.160485021398,0.00929765886288,3.33355858209e-06,3.67807847669e-07,1.810119506e-17
5,6.8,234.0,Layer5a,5.0,2232,117.005824373,13.2550787948,-75.9135228722,10.677784845,568.408499354,RegularSpiker,4.0313549832,0.00220735785953,2.54024731809e-20,0.0925395667368,8.21761353017e-52
6,5.9,252.0,Layer5a,6.0,11824,54.1474331867,9.85909498912,-51.2986729089,3.76427293723,604.636733379,RegularSpiker,0.413743479043,0.0117056856187,0.0317161498639,4.81126748523e-07,0.00159185816808
7,5.0,270.0,Layer5a,7.0,1950,37.5196153846,5.54882723948,-35.896784007,-1.51909894874,789.52565185,RegularSpiker,0.784593437946,0.00173913043478,6.7584334064e-05,0.659835574131,2.45541389289e-16
8,4.9,272.0,Layer5a,8.0,4139,41.8829427398,8.94581271007,24.5332738195,2.84442824994,704.576689309,RegularSpiker,0.0813008130081,0.00862876254181,8.26102432921e-16,1.66736977549e-06,1.33875951061e-17
9,9.3,184.0,Layer5a,9.0,10010,44.1789460539,7.17322147743,37.2753517669,13.768956513,208.624658005,FastSpiker,2.24358974359,0.00254180602007,2.26263018741e-14,0.000962210633121,4.21544426967e-47
10,8.4,202.0,Layer5a,10.0,19340,37.3172311272,7.10313825419,-21.079369183,8.34811775281,654.606711344,RegularSpiker,0.966131715957,0.0028762541806,1.87665790352e-09,0.0620694249176,2.1229784391e-17
11,14.9,72.0,Layer4,11.0,448,45.0016741071,8.70629084065,76.4471095642,6.21493306755,794.522649646,RegularSpiker,2.25080385852,0.00254180602007,0.752737557879,0.96710228568,0.568337346439
12,19.1,-12.0,Layer4,12.0,5034,77.8262812872,9.01946014655,-194.553308687,-13.5468653552,798.270397994,RegularSpiker,25.1897435897,0.00200668896321,0.000678476369039,0.520284965702,1.30378156253e-22
13,22.9,-88.0,Layer4,13.0,5456,59.1412664956,6.97524787706,18.6112940504,4.90377821553,612.132230073,RegularSpiker,34.616171955,0.00167224080268,3.02296909746e-05,0.988698033566,7.08338718288e-11
14,23.0,-90.0,Layer4,14.0,1345,112.464684015,9.98267796277,132.454476719,2.35335485954,628.372472912,RegularSpiker,8.41908325538,0.00167224080268,0.00268393394915,0.715137701559,4.83949803523e-55
15,24.4,-118.0,Layer4,15.0,2492,66.6269060995,7.48830972317,80.8925850858,-2.23061680512,635.867969607,RegularSpiker,14.215925745,0.00200668896321,2.73125950034e-07,0.593472780623,4.36699030912e-35
16,29.4,-218.0,Layer23,16.0,4261,91.9373386529,7.41414926677,55.2762739709,-8.5224801923,792.024150748,RegularSpiker,68.6601059803,0.00180602006689,1.02156827779e-26,0.603138915963,1.02238106762e-91
17,25.9,-148.0,Layer23,17.0,397,117.708438287,10.3360650421,-71.1330743287,-5.35665984776,664.600706937,RegularSpiker,2.30263157895,0.00280936454849,4.74426511888e-05,0.734639663774,0.00125239438391
18,25.0,-130.0,Layer23,18.0,8213,113.691373432,8.79739529067,89.2894584237,-32.4455206102,750.798918927,RegularSpiker,30.7574402861,0.00220735785953,4.95993469603e-08,0.0262629085511,7.73271529203e-41
19,28.0,-190.0,Layer23,19.0,2963,76.4546068174,9.5770095932,33.9662332611,-0.431628927914,623.375475115,RegularSpiker,0.547368421053,0.00849498327759,1.24302343387e-14,0.503909245685,3.53970725291e-43
20,27.3,-176.0,Layer23,20.0,1174,71.1303236797,6.9168418855,24.5661652181,-6.96745946409,680.840949775,RegularSpiker,3.9603960396,0.00234113712375,1.13931761324e-30,0.651402543819,4.55370835641e-87
21,24.0,-110.0,Layer4,21.0,2176,114.831801471,12.1508107278,124.118075461,-5.29155754284,637.117219056,RegularSpiker,45.4791553871,0.00200668896321,0.0819779649329,0.979071843666,0.016319440703
