,channelPeak,distLayer4,layer,sourceId,numSpikes,spkAmp,waveformSNR,firingDrift,spkAmpDrift,spkWidth,cellType,rateFA,peakTimeISI,pVal
0,0.9,202.0,Layer5a,0.0,45952,129.449719272,12.1790817523,-25.2565436233,2.93546072388,655.855960793,RegularSpiker,0.0496009379086,0.0183277591973,3.13138139576e-97
1,4.2,136.0,Layer5a,1.0,13530,140.584441981,10.2115210456,16.1336801611,6.96173457618,785.777903502,RegularSpiker,0.0,0.00916387959866,2.48731660544e-153
2,1.0,200.0,Layer5a,2.0,101837,140.00217259,11.1237792218,-1.90274446405,3.06956590544,595.891987235,RegularSpiker,2.14112456454,0.00220735785953,7.6148314237e-26
3,6.2,96.0,Layer4,3.0,5823,163.356302593,14.8056271301,-0.37793349026,-9.91381467561,788.276402401,RegularSpiker,0.062682824906,0.0145819397993,5.26675233042e-14
4,7.0,80.0,Layer4,4.0,5035,126.353376365,12.7377978744,22.6052964935,-19.9782659425,787.027152951,RegularSpiker,0.0,0.0115050167224,0.0172442200425
5,6.8,84.0,Layer4,5.0,6007,121.264150158,12.1174679514,49.1439904328,3.08167096791,788.276402401,RegularSpiker,0.283171521036,0.0191973244147,4.91721159087e-14
6,13.0,-40.0,Layer4,6.0,41557,123.843365739,9.17408372604,22.8003582461,-7.35779750852,216.120154699,FastSpiker,1.39371950457,0.00421404682274,1.87821707871e-36
7,16.1,-102.0,Layer23,7.0,2712,236.74234882,7.80193157983,191.031419056,-11.1672550422,789.52565185,RegularSpiker,21.0073181231,0.00234113712375,2.13666038102e-57
8,21.0,-200.0,Layer23,8.0,38987,147.658847821,10.9016851614,33.655238527,8.35278262989,266.090132665,FastSpiker,0.410940627085,0.00541806020067,1.83589838627e-119
9,20.1,-182.0,Layer23,9.0,3007,145.888011307,12.8083308786,-113.526976513,-4.15615243869,788.276402401,RegularSpiker,0.0447828034035,0.00508361204013,4.56770820181e-11
10,23.0,-240.0,Layer23,10.0,12094,269.221514801,9.64245842097,92.1439302612,-5.65711476059,777.033157358,RegularSpiker,1.13841705819,0.0028762541806,7.38904456086e-181
11,22.8,-236.0,Layer23,11.0,2706,209.586751663,10.5785205485,-31.1241998543,-14.7702435805,784.528654053,RegularSpiker,0.0475059382423,0.0108361204013,2.89996356274e-90
12,22.0,-220.0,Layer23,12.0,3087,269.865241335,10.8066167492,-18.2669029247,0.799976184178,789.52565185,RegularSpiker,0.510003923107,0.00321070234114,1.92939480165e-72
13,25.9,-298.0,Layer23,13.0,70096,139.703913205,7.03474140337,21.5056831701,-12.4075249558,488.45653461,RegularSpiker,3.2432274638,0.0028762541806,2.17256140982e-195
