,label,0.0,5.0,10.0,15.0,20.0,25.0
0,meanRate,1.38575639772,1.87922912052,0.319111349427,0.261918067778,0.260461672748,0.197090083583
0,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
0,stdRate,1.56473944093,1.8272770632,,,,
1,meanRate,-0.163508717029,-0.224817600839,-0.0241817591282,-0.0585055457939,-0.115951489204,0.0290041162054
1,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
1,stdRate,0.178453879767,0.0893304748527,,,,
2,meanRate,0.0489587627875,0.0803252767424,0.364157291036,0.3067866366,0.773096783841,0.562289674535
2,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
2,stdRate,0.127687127626,0.218298703202,,,,
3,meanRate,0.0696941934539,-0.0893797073391,-0.0721152311702,-0.0954783110708,-0.101484960732,-0.316513130592
3,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
3,stdRate,0.218272000664,0.139488584777,,,,
4,meanRate,0.0632083620254,-0.0764276899925,-0.243424252522,-0.126455171508,-0.173334474129,0.105607822069
4,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
4,stdRate,0.291161165809,0.569857930568,,,,
5,meanRate,0.202575230936,0.451322481914,0.0731790558266,0.164911248363,0.187355313617,0.197212848037
5,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
5,stdRate,0.361189889233,0.53583836643,,,,
6,meanRate,-0.0620045872241,0.00853504279937,-0.20421803107,-0.367613621355,-0.0678881594914,0.0336736946501
6,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
6,stdRate,0.0663272332621,0.182467539549,,,,
7,meanRate,0.984757405502,1.89804986245,1.76660649999,2.15161703315,1.97066228733,1.29752221471
7,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
7,stdRate,1.1381970129,1.69629697626,,,,
8,meanRate,-0.247407079917,-0.463680078786,-0.109598778332,-0.560889396872,-0.231667825653,0.176878008777
8,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
8,stdRate,0.2694967562,0.40507516504,,,,
9,meanRate,1.05216343546,1.62728950246,0.320575629095,0.369959121117,0.362944472207,0.2504384266
9,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
9,stdRate,2.01013595896,2.65438916036,,,,
10,meanRate,-0.0897118027007,-0.153112713728,-0.108010191371,-0.219145413149,0.0726780724807,0.0549542093991
10,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
10,stdRate,0.131501373097,0.368564883063,,,,
11,meanRate,0.227955498901,0.554156562461,0.577566495092,0.559820334641,0.70076007225,0.543901816408
11,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
11,stdRate,0.306713574656,0.490386854319,,,,
12,meanRate,0.494836607315,0.620329684531,0.919279681123,0.804188826961,0.426636468861,-0.00440707799096
12,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
12,stdRate,0.60122483375,0.425105186175,,,,
13,meanRate,0.254484340605,0.668590423854,-0.0399991409052,-0.0598243308666,-0.0119746196584,0.552614732019
13,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
13,stdRate,0.586742582195,1.04872368041,,,,
14,meanRate,0.0274887982679,-0.0564748982293,0.0738100006975,0.0223735049363,0.0376556326516,-0.142689139759
14,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
14,stdRate,0.0741980044132,0.087497578618,,,,
15,meanRate,0.173530965549,0.183290623313,0.115971161633,0.39559709924,0.41191669924,0.130860226761
15,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
15,stdRate,0.153508148688,0.224815027901,,,,
16,meanRate,0.230097836881,0.424433572454,0.256745582084,0.650079434223,0.610219967315,-0.413798208602
16,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
16,stdRate,0.311919640203,0.715012157611,,,,
17,meanRate,0.195612881754,0.499852026187,1.68033246129,1.51200634859,2.02304670986,1.44215530903
17,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
17,stdRate,0.336320107683,0.656002005425,,,,
18,meanRate,0.211005646321,0.408617758637,0.596987113725,0.658217493506,0.231667275048,0.0164628257727
18,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
18,stdRate,0.241735348975,0.309395609327,,,,
19,meanRate,8.49113843238e-05,-0.046990740414,-0.0173230360189,-0.15623303585,0.00636947285374,-0.0646356733908
19,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
19,stdRate,0.0101678783973,0.0844982988795,,,,
20,meanRate,0.0941538886493,0.256301758545,-0.0419522230721,0.0881282991653,0.0809329811756,-0.0149644843399
